question_id,missed_tables_count,extra_tables_count,missed_tables,extra_tables,recall
533,0,4,set(),"{'comments', 'votes', 'posts', 'posthistory'}",1.0
534,0,3,set(),"{'comments', 'posts', 'posthistory'}",1.0
535,0,1,set(),{'votes'},1.0
536,0,2,set(),"{'posts', 'posthistory'}",1.0
537,0,4,set(),"{'comments', 'votes', 'posthistory', 'postlinks'}",1.0
538,0,2,set(),"{'comments', 'posthistory'}",1.0
539,0,6,set(),"{'postlinks', 'comments', 'votes', 'posthistory', 'badges', 'tags'}",1.0
540,0,0,set(),set(),1.0
717,0,7,set(),"{'alignment', 'colour', 'hero_attribute', 'race', 'gender', 'attribute', 'publisher'}",1.0
718,0,8,set(),"{'alignment', 'colour', 'superhero', 'hero_attribute', 'race', 'gender', 'attribute', 'publisher'}",1.0
719,0,0,set(),set(),1.0
720,0,1,set(),{'superpower'},1.0
721,0,0,set(),set(),1.0
722,0,0,set(),set(),1.0
723,0,0,set(),set(),1.0
724,0,0,set(),set(),1.0
725,0,0,set(),set(),1.0
726,0,8,set(),"{'alignment', 'colour', 'hero_power', 'hero_attribute', 'race', 'superpower', 'gender', 'attribute'}",1.0
846,0,3,set(),"{'results', 'status', 'races'}",1.0
847,1,3,{'qualifying'},"{'laptimes', 'results', 'races'}",0.5
848,0,1,set(),{'seasons'},1.0
849,0,0,set(),set(),1.0
850,0,0,set(),set(),1.0
851,1,3,{'constructorstandings'},"{'constructorresults', 'circuits', 'races'}",0.5
852,0,0,set(),set(),1.0
853,0,0,set(),set(),1.0
854,0,0,set(),set(),1.0
855,0,7,set(),"{'constructorstandings', 'constructorresults', 'pitstops', 'qualifying', 'laptimes', 'driverstandings', 'results'}",1.0
1020,0,1,set(),{'player'},1.0
1021,0,0,set(),set(),1.0
1022,0,1,set(),{'player'},1.0
1023,0,2,set(),"{'match', 'player'}",1.0
1024,0,1,set(),{'player'},1.0
1025,0,1,set(),{'team'},1.0
1026,0,0,set(),set(),1.0
1027,0,0,set(),set(),1.0
1028,0,0,set(),set(),1.0
1029,0,0,set(),set(),1.0
1149,0,2,set(),"{'examination', 'laboratory'}",1.0
1150,0,2,set(),"{'examination', 'laboratory'}",1.0
1151,0,2,set(),"{'examination', 'laboratory'}",1.0
1152,0,1,set(),{'examination'},1.0
1153,0,1,set(),{'examination'},1.0
1154,0,1,set(),{'laboratory'},1.0
1155,0,1,set(),{'examination'},1.0
1156,0,1,set(),{'laboratory'},1.0
1157,0,1,set(),{'laboratory'},1.0
1158,0,1,set(),{'examination'},1.0
1312,0,2,set(),"{'attendance', 'event'}",1.0
1313,0,0,set(),set(),1.0
1314,0,0,set(),set(),1.0
1315,0,1,set(),{'member'},1.0
1316,0,1,set(),{'major'},1.0
1317,0,1,set(),{'major'},1.0
1318,0,1,set(),{'member'},1.0
1319,0,0,set(),set(),1.0
1320,0,0,set(),set(),1.0
1321,0,0,set(),set(),1.0
1470,0,4,set(),"{'yearmonth', 'products', 'transactions_1k', 'customers'}",1.0
1471,0,4,set(),"{'yearmonth', 'gasstations', 'products', 'transactions_1k'}",1.0
1472,0,3,set(),"{'gasstations', 'products', 'transactions_1k'}",1.0
1473,0,3,set(),"{'gasstations', 'products', 'transactions_1k'}",1.0
1474,0,3,set(),"{'gasstations', 'products', 'transactions_1k'}",1.0
1475,0,3,set(),"{'gasstations', 'products', 'transactions_1k'}",1.0
1476,0,3,set(),"{'gasstations', 'products', 'transactions_1k'}",1.0
1477,0,3,set(),"{'gasstations', 'products', 'transactions_1k'}",1.0
1478,0,3,set(),"{'gasstations', 'products', 'transactions_1k'}",1.0
1479,0,3,set(),"{'gasstations', 'products', 'transactions_1k'}",1.0
