question_id,missed_columns_count,extra_columns_count,missed_columns,extra_columns,recall
12,0,21,{},"{'frpm': ['frpm count (ages 5-17)', 'school type', '2013-14 calpads fall 1 certification status', 'enrollment (k-12)', 'percent (%) eligible frpm (ages 5-17)', 'percent (%) eligible free (ages 5-17)', 'charter school number', 'school name', 'frpm count (k-12)', 'high grade', 'free meal count (k-12)', 'percent (%) eligible free (k-12)', 'percent (%) eligible frpm (k-12)'], 'satscores': ['sname', 'avgscrmath', 'enroll12', 'cname', 'avgscrread', 'dname', 'avgscrwrite', 'rtype']}",1.0
13,0,22,{},"{'schools': ['ncesdist', 'admemail2', 'longitude', 'admlname2', 'mailzip', 'website', 'school', 'mailstrabr', 'ncesschool', 'charternum', 'streetabr', 'ext', 'soc', 'gsserved'], 'satscores': ['sname', 'avgscrmath', 'enroll12', 'cname', 'avgscrread', 'dname', 'avgscrwrite', 'rtype']}",1.0
14,0,28,{},"{'schools': ['gsoffered', 'ncesdist', 'mailzip', 'website', 'school', 'opendate', 'charternum', 'soc', 'streetabr', 'eilcode', 'magnet', 'ext', 'eilname', 'gsserved'], 'frpm': ['frpm count (ages 5-17)', 'school code', 'school type', '2013-14 calpads fall 1 certification status', 'district name', 'enrollment (k-12)', 'percent (%) eligible frpm (ages 5-17)', 'percent (%) eligible free (ages 5-17)', 'charter school number', 'school name', 'free meal count (k-12)', 'percent (%) eligible free (k-12)', 'free meal count (ages 5-17)', 'percent (%) eligible frpm (k-12)']}",1.0
15,0,22,{},"{'schools': ['gsoffered', 'ncesdist', 'longitude', 'admemail1', 'latitude', 'website', 'mailstrabr', 'ncesschool', 'admlname1', 'streetabr', 'doc', 'admfname1', 'gsserved'], 'satscores': ['sname', 'avgscrmath', 'numtsttakr', 'enroll12', 'cname', 'dname', 'avgscrwrite', 'numge1500', 'rtype']}",1.0
16,2,24,"{'schools': ['county', 'statustype']}","{'schools': ['gsoffered', 'ncesdist', 'admemail2', 'admemail1', 'admlname2', 'school', 'mailstrabr', 'ncesschool', 'charternum', 'streetabr', 'closeddate', 'doc', 'magnet', 'soc', 'gsserved'], 'satscores': ['sname', 'avgscrmath', 'enroll12', 'cname', 'avgscrread', 'dname', 'avgscrwrite', 'numge1500', 'rtype']}",0.6666666666666666
17,0,23,{},"{'schools': ['gsoffered', 'ncesdist', 'admemail2', 'website', 'school', 'mailstrabr', 'opendate', 'ncesschool', 'charter', 'streetabr', 'doc', 'magnet', 'soc', 'gsserved'], 'satscores': ['sname', 'avgscrmath', 'numtsttakr', 'enroll12', 'cname', 'avgscrread', 'dname', 'numge1500', 'rtype']}",1.0
18,2,24,"{'frpm': ['county name', 'charter funding type']}","{'frpm': ['frpm count (ages 5-17)', 'school code', 'school type', '2013-14 calpads fall 1 certification status', 'enrollment (k-12)', 'percent (%) eligible frpm (ages 5-17)', 'percent (%) eligible free (ages 5-17)', 'school name', 'charter school number', 'frpm count (k-12)', 'free meal count (k-12)', 'percent (%) eligible free (k-12)', 'free meal count (ages 5-17)', 'enrollment (ages 5-17)', 'percent (%) eligible frpm (k-12)'], 'satscores': ['sname', 'avgscrmath', 'enroll12', 'cname', 'avgscrread', 'dname', 'avgscrwrite', 'numge1500', 'rtype']}",0.6666666666666666
19,1,24,{'schools': ['phone']},"{'schools': ['gsoffered', 'ncesdist', 'admemail2', 'longitude', 'mailzip', 'website', 'school', 'mailstrabr', 'ncesschool', 'charternum', 'streetabr', 'mailstreet', 'ext', 'soc', 'gsserved'], 'satscores': ['sname', 'numtsttakr', 'enroll12', 'cname', 'avgscrread', 'dname', 'avgscrwrite', 'numge1500', 'rtype']}",0.75
20,1,27,{'schools': ['county']},"{'frpm': ['frpm count (ages 5-17)', 'school code', 'school type', 'charter school number', '2013-14 calpads fall 1 certification status', 'district name', 'percent (%) eligible free (k-12)', 'enrollment (k-12)', 'percent (%) eligible frpm (ages 5-17)', 'percent (%) eligible free (ages 5-17)', 'enrollment (ages 5-17)', 'percent (%) eligible frpm (k-12)'], 'schools': ['gsoffered', 'ncesdist', 'admemail2', 'longitude', 'admlname2', 'latitude', 'school', 'opendate', 'ncesschool', 'streetabr', 'eilcode', 'closeddate', 'doc', 'soc', 'gsserved']}",0.75
21,1,14,{'frpm': ['county name']},"{'frpm': ['frpm count (ages 5-17)', 'school type', '2013-14 calpads fall 1 certification status', 'district name', 'enrollment (k-12)', 'percent (%) eligible frpm (ages 5-17)', 'percent (%) eligible free (ages 5-17)', 'charter school number', 'school name', 'frpm count (k-12)', 'percent (%) eligible free (k-12)', 'free meal count (ages 5-17)', 'enrollment (ages 5-17)', 'percent (%) eligible frpm (k-12)']}",0.6666666666666666
22,0,8,{},"{'satscores': ['avgscrmath', 'enroll12', 'avgscrread', 'dname', 'avgscrwrite', 'numge1500', 'cds', 'rtype']}",1.0
23,0,26,{},"{'schools': ['gsoffered', 'ncesdist', 'longitude', 'mailzip', 'website', 'mailstrabr', 'ncesschool', 'charternum', 'mailcity', 'mailstreet', 'ext', 'soc', 'gsserved'], 'frpm': ['frpm count (ages 5-17)', 'school code', 'school type', 'district name', 'percent (%) eligible frpm (ages 5-17)', 'percent (%) eligible free (ages 5-17)', 'charter school number', 'school name', 'frpm count (k-12)', 'free meal count (k-12)', 'percent (%) eligible free (k-12)', 'free meal count (ages 5-17)', 'percent (%) eligible frpm (k-12)']}",1.0
24,0,21,{},"{'frpm': ['frpm count (ages 5-17)', 'enrollment (ages 5-17)', 'school type', '2013-14 calpads fall 1 certification status', 'percent (%) eligible free (ages 5-17)', 'district name', 'percent (%) eligible free (k-12)', 'percent (%) eligible frpm (ages 5-17)', 'free meal count (ages 5-17)', 'charter school number', 'frpm count (k-12)', 'percent (%) eligible frpm (k-12)'], 'satscores': ['sname', 'avgscrmath', 'numtsttakr', 'enroll12', 'cname', 'avgscrread', 'dname', 'avgscrwrite', 'rtype']}",1.0
25,1,22,{'frpm': ['district name']},"{'satscores': ['numtsttakr', 'enroll12', 'cname', 'avgscrread', 'dname', 'avgscrwrite', 'numge1500', 'rtype'], 'frpm': ['frpm count (ages 5-17)', 'school code', 'school type', 'enrollment (k-12)', 'percent (%) eligible frpm (ages 5-17)', 'percent (%) eligible free (ages 5-17)', 'charter school number', 'school name', 'high grade', 'free meal count (k-12)', 'percent (%) eligible free (k-12)', 'free meal count (ages 5-17)', 'enrollment (ages 5-17)', 'percent (%) eligible frpm (k-12)']}",0.8333333333333333
26,5,27,"{'schools': ['zip', 'city', 'state', 'street', 'county']}","{'frpm': ['frpm count (ages 5-17)', 'school code', 'enrollment (ages 5-17)', 'free meal count (k-12)', 'district name', 'percent (%) eligible free (k-12)', 'enrollment (k-12)', 'percent (%) eligible frpm (ages 5-17)', 'percent (%) eligible free (ages 5-17)', 'charter school number', 'frpm count (k-12)', 'percent (%) eligible frpm (k-12)'], 'schools': ['gsoffered', 'ncesdist', 'longitude', 'admemail1', 'streetabr', 'mailcity', 'mailzip', 'website', 'school', 'mailstrabr', 'mailstreet', 'magnet', 'ext', 'gsserved', 'ncesschool']}",0.5833333333333334
27,1,21,{'schools': ['phone']},"{'schools': ['gsoffered', 'ncesdist', 'streetabr', 'mailcity', 'mailzip', 'website', 'mailstrabr', 'mailstreet', 'ext', 'soc', 'gsserved', 'ncesschool'], 'satscores': ['sname', 'avgscrmath', 'numtsttakr', 'enroll12', 'cname', 'avgscrread', 'dname', 'numge1500', 'rtype']}",0.9
28,0,25,{},"{'schools': ['gsoffered', 'ncesdist', 'charter', 'charternum', 'longitude', 'statustype', 'eilcode', 'edopsname', 'edopscode', 'soc', 'gsserved', 'ncesschool'], 'frpm': ['frpm count (ages 5-17)', 'school type', 'district name', 'percent (%) eligible frpm (ages 5-17)', 'percent (%) eligible free (ages 5-17)', 'charter school number', 'school name', 'frpm count (k-12)', 'educational option type', 'free meal count (k-12)', 'percent (%) eligible free (k-12)', 'free meal count (ages 5-17)', 'percent (%) eligible frpm (k-12)']}",1.0
29,0,28,{},"{'schools': ['gsoffered', 'ncesdist', 'virtual', 'school', 'ncesschool', 'charternum', 'soc', 'streetabr', 'eilcode', 'closeddate', 'magnet', 'eilname', 'admfname1', 'gsserved'], 'frpm': ['frpm count (ages 5-17)', 'school code', 'school type', '2013-14 calpads fall 1 certification status', 'district name', 'percent (%) eligible frpm (ages 5-17)', 'percent (%) eligible free (ages 5-17)', 'charter school number', 'school name', 'frpm count (k-12)', 'free meal count (k-12)', 'percent (%) eligible free (k-12)', 'enrollment (ages 5-17)', 'percent (%) eligible frpm (k-12)']}",1.0
30,1,29,{'schools': ['city']},"{'schools': ['gsoffered', 'ncesdist', 'longitude', 'mailzip', 'latitude', 'school', 'mailstrabr', 'ncesschool', 'charternum', 'streetabr', 'mailcity', 'eilcode', 'mailstreet', 'soc', 'gsserved'], 'frpm': ['frpm count (ages 5-17)', 'school code', 'school type', 'low grade', 'percent (%) eligible frpm (ages 5-17)', 'percent (%) eligible free (ages 5-17)', 'charter school number', 'school name', 'frpm count (k-12)', 'free meal count (k-12)', 'percent (%) eligible free (k-12)', 'free meal count (ages 5-17)', 'enrollment (ages 5-17)', 'percent (%) eligible frpm (k-12)']}",0.75
31,0,14,{},"{'frpm': ['frpm count (ages 5-17)', 'school code', 'school type', '2013-14 calpads fall 1 certification status', 'cdscode', 'percent (%) eligible frpm (ages 5-17)', 'percent (%) eligible free (ages 5-17)', 'charter school number', 'school name', 'frpm count (k-12)', 'percent (%) eligible free (k-12)', 'free meal count (ages 5-17)', 'enrollment (ages 5-17)', 'percent (%) eligible frpm (k-12)']}",1.0
32,0,27,{},"{'frpm': ['frpm count (ages 5-17)', 'school code', 'school type', '2013-14 calpads fall 1 certification status', 'percent (%) eligible frpm (ages 5-17)', 'percent (%) eligible free (ages 5-17)', 'charter school number', 'school name', 'free meal count (k-12)', 'percent (%) eligible free (k-12)', 'free meal count (ages 5-17)', 'enrollment (ages 5-17)', 'percent (%) eligible frpm (k-12)'], 'schools': ['gsoffered', 'ncesdist', 'mailzip', 'school', 'edopscode', 'ncesschool', 'charter', 'charternum', 'eilcode', 'doc', 'magnet', 'ext', 'admfname1', 'gsserved']}",1.0
33,0,27,{},"{'schools': ['ncesdist', 'admemail2', 'admemail1', 'admlname2', 'mailzip', 'school', 'opendate', 'ncesschool', 'streetabr', 'mailstreet', 'magnet', 'ext', 'admfname1', 'gsserved'], 'frpm': ['frpm count (ages 5-17)', 'school code', 'school type', 'district name', 'enrollment (k-12)', 'percent (%) eligible frpm (ages 5-17)', 'percent (%) eligible free (ages 5-17)', 'charter school number', 'frpm count (k-12)', 'free meal count (k-12)', 'percent (%) eligible free (k-12)', 'enrollment (ages 5-17)', 'percent (%) eligible frpm (k-12)']}",1.0
34,1,27,{'schools': ['admlname1']},"{'frpm': ['frpm count (ages 5-17)', 'school code', 'school type', '2013-14 calpads fall 1 certification status', 'enrollment (k-12)', 'percent (%) eligible frpm (ages 5-17)', 'percent (%) eligible free (ages 5-17)', 'charter school number', 'school name', 'frpm count (k-12)', 'free meal count (k-12)', 'percent (%) eligible free (k-12)', 'percent (%) eligible frpm (k-12)'], 'schools': ['gsoffered', 'ncesdist', 'mailzip', 'school', 'fundingtype', 'opendate', 'ncesschool', 'charter', 'charternum', 'eilcode', 'doc', 'magnet', 'soc', 'gsserved']}",0.8333333333333333
35,0,27,{},"{'schools': ['gsoffered', 'ncesdist', 'mailzip', 'school', 'mailstrabr', 'ncesschool', 'charter', 'charternum', 'admlname1', 'streetabr', 'mailcity', 'mailstreet', 'admfname1', 'gsserved'], 'frpm': ['school code', 'school type', '2013-14 calpads fall 1 certification status', 'district name', 'percent (%) eligible free (ages 5-17)', 'charter school number', 'school name', 'frpm count (k-12)', 'free meal count (k-12)', 'percent (%) eligible free (k-12)', 'free meal count (ages 5-17)', 'enrollment (ages 5-17)', 'percent (%) eligible frpm (k-12)']}",1.0
36,3,21,"{'schools': ['admfname2', 'admfname3', 'admlname3']}","{'schools': ['eilname', 'gsoffered', 'ncesdist', 'charternum', 'admemail1', 'streetabr', 'website', 'school', 'ext', 'soc', 'gsserved', 'ncesschool'], 'satscores': ['sname', 'avgscrmath', 'numtsttakr', 'enroll12', 'cname', 'avgscrread', 'dname', 'avgscrwrite', 'rtype']}",0.7857142857142857
37,3,22,"{'schools': ['city', 'zip', 'state']}","{'schools': ['ncesdist', 'longitude', 'admemail1', 'streetabr', 'mailcity', 'mailzip', 'eilcode', 'latitude', 'website', 'mailstrabr', 'mailstreet', 'ext', 'soc', 'ncesschool'], 'satscores': ['sname', 'avgscrmath', 'enroll12', 'cname', 'avgscrread', 'dname', 'avgscrwrite', 'rtype']}",0.7
38,1,23,{'schools': ['county']},"{'schools': ['gsoffered', 'ncesdist', 'admemail2', 'admemail1', 'admlname2', 'school', 'ncesschool', 'admlname1', 'charternum', 'streetabr', 'doc', 'ext', 'soc', 'gsserved'], 'satscores': ['sname', 'avgscrmath', 'enroll12', 'cname', 'avgscrread', 'dname', 'avgscrwrite', 'numge1500', 'rtype']}",0.8333333333333333
39,1,23,{'schools': ['county']},"{'satscores': ['sname', 'avgscrmath', 'enroll12', 'cname', 'avgscrread', 'dname', 'avgscrwrite', 'numge1500', 'rtype'], 'schools': ['gsoffered', 'ncesdist', 'admemail2', 'admlname2', 'latitude', 'admfname2', 'school', 'ncesschool', 'charternum', 'streetabr', 'closeddate', 'soc', 'admfname1', 'gsserved']}",0.8333333333333333
40,2,24,"{'schools': ['phone', 'district']}","{'schools': ['gsoffered', 'ncesdist', 'admemail1', 'mailstreet', 'mailzip', 'website', 'school', 'mailstrabr', 'ncesschool', 'charternum', 'streetabr', 'doc', 'ext', 'admfname1', 'gsserved'], 'satscores': ['sname', 'avgscrmath', 'numtsttakr', 'enroll12', 'cname', 'dname', 'avgscrwrite', 'numge1500', 'rtype']}",0.6666666666666666
41,0,22,{},"{'schools': ['gsoffered', 'ncesdist', 'website', 'opendate', 'ncesschool', 'charter', 'charternum', 'streetabr', 'eilcode', 'ext', 'soc', 'admfname1', 'gsserved'], 'satscores': ['sname', 'avgscrmath', 'numtsttakr', 'enroll12', 'cname', 'dname', 'avgscrwrite', 'numge1500', 'rtype']}",1.0
42,1,24,{'schools': ['edopsname']},"{'schools': ['gsoffered', 'ncesdist', 'virtual', 'longitude', 'school', 'mailstrabr', 'edopscode', 'ncesschool', 'charternum', 'streetabr', 'eilcode', 'mailstreet', 'magnet', 'soc', 'gsserved'], 'satscores': ['sname', 'numtsttakr', 'enroll12', 'cname', 'avgscrread', 'dname', 'avgscrwrite', 'numge1500', 'rtype']}",0.75
43,0,21,{},"{'satscores': ['sname', 'numtsttakr', 'enroll12', 'cname', 'dname', 'numge1500', 'rtype'], 'schools': ['gsoffered', 'ncesdist', 'longitude', 'mailzip', 'latitude', 'website', 'school', 'mailstrabr', 'ncesschool', 'streetabr', 'mailcity', 'mailstreet', 'soc', 'gsserved']}",1.0
44,1,23,{'schools': ['city']},"{'satscores': ['sname', 'avgscrmath', 'numtsttakr', 'enroll12', 'cname', 'avgscrread', 'dname', 'rtype'], 'schools': ['gsoffered', 'ncesdist', 'admemail2', 'longitude', 'admlname2', 'latitude', 'mailzip', 'website', 'school', 'opendate', 'ncesschool', 'charternum', 'streetabr', 'mailcity', 'gsserved']}",0.75
45,0,21,{},"{'schools': ['gsoffered', 'admemail2', 'admemail1', 'streetabr', 'mailcity', 'mailzip', 'website', 'mailstrabr', 'mailstreet', 'soc', 'doc', 'ncesschool'], 'satscores': ['sname', 'avgscrmath', 'numtsttakr', 'enroll12', 'cname', 'avgscrread', 'dname', 'numge1500', 'rtype']}",1.0
46,0,27,{},"{'schools': ['gsoffered', 'ncesdist', 'admemail1', 'edopscode', 'ncesschool', 'charter', 'charternum', 'streetabr', 'eilcode', 'ext', 'soc', 'admfname1', 'gsserved'], 'frpm': ['frpm count (ages 5-17)', 'school code', 'school type', '2013-14 calpads fall 1 certification status', 'charter school (y/n)', 'percent (%) eligible frpm (ages 5-17)', 'percent (%) eligible free (ages 5-17)', 'charter school number', 'school name', 'high grade', 'free meal count (k-12)', 'percent (%) eligible free (k-12)', 'enrollment (ages 5-17)', 'percent (%) eligible frpm (k-12)']}",1.0
47,1,13,{'schools': ['county']},"{'schools': ['gsoffered', 'ncesdist', 'longitude', 'streetabr', 'latitude', 'eilcode', 'website', 'closeddate', 'cdscode', 'edopscode', 'soc', 'gsserved', 'ncesschool']}",0.75
48,1,14,{'schools': ['county']},"{'schools': ['gsoffered', 'ncesdist', 'longitude', 'admemail1', 'doctype', 'mailzip', 'website', 'cdscode', 'edopscode', 'ncesschool', 'streetabr', 'ext', 'soc', 'gsserved']}",0.6666666666666666
49,1,13,{'schools': ['county']},"{'schools': ['gsoffered', 'ncesdist', 'streetabr', 'mailcity', 'mailstreet', 'website', 'cdscode', 'opendate', 'doc', 'magnet', 'soc', 'gsserved', 'ncesschool']}",0.75
50,0,22,{},"{'schools': ['ncesdist', 'admemail2', 'longitude', 'admemail1', 'mailzip', 'latitude', 'website', 'mailstrabr', 'mailstate', 'ncesschool', 'streetabr', 'mailcity', 'street'], 'satscores': ['sname', 'numtsttakr', 'enroll12', 'cname', 'avgscrread', 'dname', 'avgscrwrite', 'numge1500', 'rtype']}",1.0
51,0,22,{},"{'schools': ['gsoffered', 'ncesdist', 'admemail2', 'admemail1', 'admlname2', 'mailzip', 'website', 'mailstrabr', 'ncesschool', 'streetabr', 'mailcity', 'street', 'gsserved'], 'satscores': ['sname', 'avgscrmath', 'numtsttakr', 'enroll12', 'cname', 'dname', 'avgscrwrite', 'numge1500', 'rtype']}",1.0
52,0,21,{},"{'satscores': ['sname', 'numtsttakr', 'enroll12', 'cname', 'dname', 'numge1500', 'rtype'], 'schools': ['gsoffered', 'ncesdist', 'admemail2', 'longitude', 'admlname2', 'mailzip', 'latitude', 'school', 'mailstrabr', 'ncesschool', 'charternum', 'streetabr', 'mailstreet', 'gsserved']}",1.0
53,0,23,{},"{'satscores': ['sname', 'avgscrmath', 'enroll12', 'cname', 'avgscrread', 'dname', 'avgscrwrite', 'numge1500', 'rtype'], 'schools': ['gsoffered', 'ncesdist', 'admemail2', 'admemail1', 'admlname2', 'mailzip', 'website', 'mailstrabr', 'mailstate', 'ncesschool', 'streetabr', 'mailstreet', 'admfname1', 'gsserved']}",1.0
54,1,13,{'schools': ['admfname1']},"{'schools': ['ncesdist', 'admemail2', 'admemail1', 'streetabr', 'admlname2', 'mailcity', 'website', 'cdscode', 'mailstrabr', 'mailstreet', 'ext', 'soc', 'ncesschool']}",0.75
55,1,15,{'schools': ['county']},"{'schools': ['gsoffered', 'ncesdist', 'longitude', 'mailstreet', 'mailzip', 'latitude', 'website', 'school', 'mailstrabr', 'cdscode', 'ncesschool', 'streetabr', 'mailcity', 'doc', 'gsserved']}",0.5
56,2,14,"{'schools': ['city', 'statustype']}","{'schools': ['gsoffered', 'ncesdist', 'admemail2', 'admemail1', 'streetabr', 'mailcity', 'mailzip', 'mailstreet', 'website', 'school', 'mailstrabr', 'doc', 'gsserved', 'ncesschool']}",0.5
57,1,23,{'schools': ['phone']},"{'schools': ['gsoffered', 'ncesdist', 'admemail2', 'admemail1', 'admlname2', 'mailzip', 'website', 'mailstrabr', 'ncesschool', 'charternum', 'streetabr', 'mailcity', 'soc', 'gsserved'], 'satscores': ['sname', 'avgscrmath', 'numtsttakr', 'enroll12', 'cname', 'avgscrread', 'dname', 'numge1500', 'rtype']}",0.8333333333333333
58,2,14,"{'schools': ['phone', 'zip']}","{'schools': ['ncesdist', 'charternum', 'admemail1', 'streetabr', 'mailcity', 'mailzip', 'website', 'cdscode', 'mailstrabr', 'mailstreet', 'magnet', 'soc', 'doc', 'ncesschool']}",0.5
59,0,13,{},"{'schools': ['gsoffered', 'admemail2', 'admemail1', 'admlname2', 'latitude', 'school', 'mailstrabr', 'opendate', 'cdscode', 'doc', 'streetabr', 'mailstreet', 'ext']}",1.0
60,1,13,{'schools': ['county']},"{'schools': ['gsoffered', 'charternum', 'streetabr', 'mailcity', 'cdscode', 'school', 'mailstrabr', 'fundingtype', 'doc', 'magnet', 'soc', 'gsserved', 'ncesschool']}",0.75
61,1,13,{'schools': ['city']},"{'schools': ['ncesdist', 'charternum', 'soc', 'streetabr', 'doctype', 'mailcity', 'website', 'cdscode', 'magnet', 'ext', 'district', 'admfname1', 'ncesschool']}",0.75
62,1,26,{'schools': ['county']},"{'schools': ['gsoffered', 'ncesdist', 'charternum', 'longitude', 'streetabr', 'latitude', 'mailzip', 'fundingtype', 'doc', 'magnet', 'soc', 'gsserved', 'ncesschool'], 'frpm': ['frpm count (ages 5-17)', 'school type', 'charter school (y/n)', '2013-14 calpads fall 1 certification status', 'percent (%) eligible frpm (ages 5-17)', 'percent (%) eligible free (ages 5-17)', 'school name', 'charter school number', 'frpm count (k-12)', 'percent (%) eligible free (k-12)', 'free meal count (ages 5-17)', 'enrollment (ages 5-17)', 'percent (%) eligible frpm (k-12)']}",0.875
63,1,11,{'schools': ['city']},"{'schools': ['ncesdist', 'admemail1', 'streetabr', 'website', 'cdscode', 'fundingtype', 'mailstreet', 'ext', 'soc', 'doc', 'ncesschool']}",0.8333333333333334
64,0,14,{},"{'schools': ['ncesdist', 'admemail2', 'admemail1', 'mailzip', 'website', 'cdscode', 'mailstrabr', 'doc', 'ncesschool', 'charter', 'streetabr', 'mailstreet', 'ext', 'soc']}",1.0
65,1,14,{'schools': ['county']},"{'schools': ['gsoffered', 'ncesdist', 'virtual', 'soctype', 'latitude', 'website', 'school', 'cdscode', 'ncesschool', 'charternum', 'streetabr', 'doc', 'soc', 'gsserved']}",0.6666666666666666
66,1,13,{'schools': ['county']},"{'schools': ['gsoffered', 'ncesdist', 'charter', 'charternum', 'streetabr', 'statustype', 'cdscode', 'closeddate', 'doc', 'soc', 'admfname1', 'gsserved', 'ncesschool']}",0.75
67,3,15,"{'schools': ['city', 'doctype', 'school']}","{'schools': ['gsoffered', 'ncesdist', 'longitude', 'soc', 'streetabr', 'statustype', 'mailcity', 'website', 'cdscode', 'opendate', 'doc', 'fundingtype', 'district', 'gsserved', 'ncesschool']}",0.25
